幣別,現金(買),現金(賣),即期(買),即期(賣)
美金 (USD),31.64,32.31,31.99,32.09
港幣 (HKD),3.931,4.135,4.057,4.117
英鎊 (GBP),38.84,40.96,39.85,40.25
澳幣 (AUD),20.08,20.86,20.37,20.57
加拿大幣 (CAD),22.94,23.85,23.34,23.54
新加坡幣 (SGD),22.9,23.81,23.39,23.57
瑞士法郎 (CHF),35.15,36.35,35.83,36.08
日圓 (JPY),0.2086,0.2214,0.2159,0.2199
南非幣 (ZAR),-,-,1.634,1.714
瑞典幣 (SEK),2.5,3.02,2.84,2.94
紐元 (NZD),18.41,19.26,18.79,18.99
泰幣 (THB),0.7737,0.9637,0.8861,0.9261
菲國比索 (PHP),0.4997,0.6317,-,-
印尼幣 (IDR),0.00173,0.00243,-,-
歐元 (EUR),33.53,34.87,34.15,34.55
韓元 (KRW),0.0223,0.0262,-,-
越南盾 (VND),0.00111,0.00152,-,-
馬來幣 (MYR),5.809,7.329,-,-
人民幣 (CNY),4.261,4.423,4.333,4.383
