縣市,區域別,戶數,男,女,總計
台中市,中區 ,8169,8666,9025,17691
高雄市,鹽埕區,10760,11026,11461,22487
高雄市,新興區,23544,23614,25954,49568
台中市,東區 ,30297,37701,38795,76496
台中市,西區 ,47134,53453,60001,113454
台北市, 大同區,52399,57386,61737,119123
台中市,南區 ,51731,60316,66273,126589
高雄市,鼓山區,60966,67111,73277,140388
高雄市,新興區,23544,23614,25954,49568
台中市,北區 ,61945,68265,75704,143969
台北市, 中正區,64925,70349,78156,148505
台北市, 松山區,79646,89059,101713,190772
高雄市,新興區,23544,23614,25954,49568
高雄市,楠梓區,78834,93893,98774,192667
高雄市,左營區,83439,93601,103408,197009
台北市, 信義區,88154,96825,107589,204414
台北市, 中山區,99667,98347,115046,213393
高雄市,新興區,23544,23614,25954,49568
台北市, 大安區,118317,132941,152992,285933
高雄市,三民區,141935,159037,172801,331838
